year,value
2009,95606520.4
2008,61003218.16
2007,54923359.86
2006,40266435.84
2005,30332768.9
2004,12306805
2003,7680710.9
2012,96491106.55
2011,140114392.99
2010,109723557.97
2013,177893643.61
2015,197493030.01
2014,197428859.07
2002,4941632.8
2001,6104500.5
2016,179291485.05
2017,180489476.29
2018,179966090.14
2020,168385449.92
2019,175820433.83
2021,89926572.64
2024,6039045.6
2023,19535459.12
2022,46111676.67
2025,299861.85
